Administradora,Anno,Departamento,Conteo de Administradoras,Conteo de Prestadores,Costo Procedimiento,Neto A Pagar - Consulta,Número de Atenciones,Número Personas Atendidas,Valor Consulta,Valor Cuota Moderadora - Consulta
EPS013 - SALUDCOOP,2010,27 - Chocó,1,4,559.260,120.330,50,12,136.730,16.400
EPS005 - SANITAS,2010,27 - Chocó,1,1,,37.200,1,1,37.200,
EMP023 - COLSANITAS S.A. COMPAÑÍA DE MEDICINA PRE,2010,27 - Chocó,1,1,,82.620,3,1,82.620,
RES002 - ECOPETROL,2010,41 - Huila,1,4,1.771.275,88.000,19,6,88.000,
ESS091 -  ECOOPSOS,2010,41 - Huila,1,13,118.000,2.401.680,121,63,2.401.680,
ESS062 - ASMET SALUD,2010,41 - Huila,1,21,1.093.660,8.022.310,466,187,8.022.310,
EPSS03 - CAFESALUD,2010,41 - Huila,1,1,,247.200,12,6,247.200,
EPSI03 -  AIC-EPSI-I,2010,41 - Huila,1,1,,20.600,1,1,20.600,
EPS037 - NUEVA EPS,2010,41 - Huila,1,19,3.688.149,1.153.250,291,80,1.266.903,113.653
EPS033 - SALUDVIDA,2010,41 - Huila,1,1,,110.400,4,2,118.800,8.400
EPS026 - SOLSALUD,2010,41 - Huila,1,3,,187.100,8,8,201.200,14.100
EPS020 - CAPRECOM,2010,41 - Huila,1,4,87.000,946.600,49,32,952.600,6.000
EPS017 - FAMISANAR,2010,41 - Huila,1,2,62.239,31.233,2,2,33.333,2.100
EPS016 - COOMEVA,2010,41 - Huila,1,7,54.627,784.200,121,58,792.600,8.400
EPS014 - HUMANA VIVIR,2010,41 - Huila,1,3,,97.371,28,10,97.371,
EPS013 - SALUDCOOP,2010,41 - Huila,1,20,50.063.767,4.411.624,1.285,341,4.784.024,372.400
EPS005 - SANITAS,2010,41 - Huila,1,1,,33.360,2,1,33.360,
EPS003 - CAFESALUD,2010,41 - Huila,1,10,10.918.884,1.078.294,256,71,1.278.594,200.300
EPS002 - SALUD TOTAL,2010,41 - Huila,1,5,,505.913,34,16,514.313,8.400
EMP017 - EMP COLMENA S.A,2010,41 - Huila,1,4,,,12,4,,
EMP002 - EMP CAFESALUD,2010,41 - Huila,1,3,115.125,60.350,3,3,92.950,32.600
CCF024 - COMFAMILIAR HUILA,2010,41 - Huila,1,39,487.452,8.933.260,550,285,8.999.406,4.346
50000 - DIRECCION DEPARTAMENTAL DE SALUD DE META,2010,41 - Huila,1,1,1.480.400,24.130,38,1,25.400,1.270
41001 - DIRECCION LOCAL DE SALUD  DE NEIVA - HUI,2010,41 - Huila,1,6,,1.020.888,71,43,1.065.628,92.270
41000 - DIRECCION DEPARTAMENTAL DE SALUD DE HUIL,2010,41 - Huila,1,7,5.302.515,5.816.650,439,198,6.121.980,387.440
ESS207 - MUTUAL SER,2010,44 - La Guajira,1,1,,25.600,1,1,25.600,
ESS133 - COMPARTA,2010,44 - La Guajira,1,3,,90.000,4,3,12.839.512.120,31.303.120
ESS076 - AMBUQ,2010,44 - La Guajira,1,4,,332.700,14,5,332.700,
ESS024 - COOSALUD E.S.S.,2010,44 - La Guajira,1,2,,24.916,3,2,24.916,
EPS037 - NUEVA EPS,2010,44 - La Guajira,1,5,167.612,34.900,20,6,69.000,34.100
EPS033 - SALUDVIDA,2010,44 - La Guajira,1,2,,70.100,3,2,70.100,
EPS020 - CAPRECOM,2010,44 - La Guajira,1,14,,1.784.560,75,17,1.784.560,
EPS017 - FAMISANAR,2010,44 - La Guajira,1,1,,304.000,10,4,304.000,
EPS016 - COOMEVA,2010,44 - La Guajira,1,14,575.465,269.681,87,65,363.681,94.000
EPS013 - SALUDCOOP,2010,44 - La Guajira,1,10,3.072.492,506.641,189,30,546.141,39.500
CCF023 - COMFAGUAJIRA,2010,44 - La Guajira,1,10,,1.449.880,64,30,1.460.200,10.320
RES002 - ECOPETROL,2010,47 - Magdalena,1,4,,2.426.000,7,4,2.426.000,
ESS207 - MUTUAL SER,2010,47 - Magdalena,1,8,,555.120,51,29,555.120,
ESS133 - COMPARTA,2010,47 - Magdalena,1,18,87.800,1.477.351,98,69,228.858.945.931,2.730
ESS076 - AMBUQ,2010,47 - Magdalena,1,5,,484.700,35,17,484.700,
ESS024 - COOSALUD E.S.S.,2010,47 - Magdalena,1,8,28.900,936.468,89,37,936.468,
ESS002 - EMDISALUD,2010,47 - Magdalena,1,1,,74.400,18,7,74.400,
EPS037 - NUEVA EPS,2010,47 - Magdalena,1,5,4.362.450,813.016,540,119,813.016,
EPS034 - SALUDCOLOMBIA,2010,47 - Magdalena,1,1,,12.425,2,1,12.425,
EPS033 - SALUDVIDA,2010,47 - Magdalena,1,1,,53.044,4,3,53.044,
EPS026 - SOLSALUD,2010,47 - Magdalena,1,7,,159.650,15,6,163.850,4.200
EPS020 - CAPRECOM,2010,47 - Magdalena,1,18,138.250,3.463.256,206,65,3.463.256,
EPS017 - FAMISANAR,2010,47 - Magdalena,1,1,,12.433,1,1,33.333,20.900
EPS016 - COOMEVA,2010,47 - Magdalena,1,11,,49.135,71,54,63.335,14.200
EPS013 - SALUDCOOP,2010,47 - Magdalena,1,19,16.104.370,1.867.301,814,168,2.079.301,212.000
EPS002 - SALUD TOTAL,2010,47 - Magdalena,1,9,,859.813,87,50,864.459,6.300
EPS001 - ALIANSALUD,2010,47 - Magdalena,1,2,,,25,3,,
EMP017 - EMP COLMENA S.A,2010,47 - Magdalena,1,1,,,1,1,,
EMP002 - EMP CAFESALUD,2010,47 - Magdalena,1,1,185.041,,15,3,,
CCF015 - COMFACOR,2010,47 - Magdalena,1,2,,123.500,12,6,123.500,
RES002 - ECOPETROL,2010,50 - Meta,1,2,,106.000,2,2,106.000,
EPSS02 - SALUD TOTAL,2010,50 - Meta,1,20,,2.334.770,130,87,2.334.770,
EPS037 - NUEVA EPS,2010,50 - Meta,1,6,317.163,199.920,78,32,203.920,4.000
EPS033 - SALUDVIDA,2010,50 - Meta,1,1,,21.660,1,1,23.760,2.100
EPS026 - SOLSALUD,2010,50 - Meta,1,7,,141.519,8,7,143.419,1.900
EPS020 - CAPRECOM,2010,50 - Meta,1,22,104.700,3.905.434,239,49,3.905.434,
EPS017 - FAMISANAR,2010,50 - Meta,1,12,1.166.681,1.980.732,129,46,2.139.132,158.400
EPS016 - COOMEVA,2010,50 - Meta,1,7,,407.361,50,35,426.061,18.700
EPS014 - HUMANA VIVIR,2010,50 - Meta,1,1,,,27,18,,
EPS013 - SALUDCOOP,2010,50 - Meta,1,25,55.385.944,9.016.894,2.816,503,9.993.294,976.400
EPS005 - SANITAS,2010,50 - Meta,1,7,,1.885.771,81,46,1.885.771,
EPS002 - SALUD TOTAL,2010,50 - Meta,1,7,,1.368.153,111,38,1.376.553,8.400
EPS001 - ALIANSALUD,2010,50 - Meta,1,7,,,44,9,,
EMP023 - COLSANITAS S.A. COMPAÑÍA DE MEDICINA PRE,2010,50 - Meta,1,3,,416.270,10,6,416.270,
EMP017 - EMP COLMENA S.A,2010,50 - Meta,1,7,,,22,6,,
EMP002 - EMP CAFESALUD,2010,50 - Meta,1,1,,25.000,1,1,44.700,19.700
CCF024 - COMFAMILIAR HUILA,2010,50 - Meta,1,2,,169.700,7,4,169.700,
50000 - DIRECCION DEPARTAMENTAL DE SALUD DE META,2010,50 - Meta,1,7,,3.873.900,139,123,3.933.900,60.000
RES002 - ECOPETROL,2010,52 - Nariño,1,5,104.000,331.342,10,5,331.342,
ESS118 - EMSSANAR E.S.S.,2010,52 - Nariño,1,82,2.324.402,137.709.830,4.360,2.154,81.296.289,
ESS062 - ASMET SALUD,2010,52 - Nariño,1,33,4.868.700,15.327.806,803,401,15.327.806,
EPS037 - NUEVA EPS,2010,52 - Nariño,1,20,3.288.668,2.056.234,358,127,2.056.234,
EPS030 - CONDOR,2010,52 - Nariño,1,42,,30.124.784,1.532,636,30.124.786,
EPS020 - CAPRECOM,2010,52 - Nariño,1,4,,1.513.800,75,29,1.513.800,
EPS016 - COOMEVA,2010,52 - Nariño,1,14,1.614.400,758.539,157,84,758.539,
EPS013 - SALUDCOOP,2010,52 - Nariño,1,17,52.718.063,6.940.674,2.480,635,7.559.374,618.700
EPS005 - SANITAS,2010,52 - Nariño,1,2,,375.322,12,8,379.522,4.200
EPS001 - ALIANSALUD,2010,52 - Nariño,1,1,,,1,1,,
EMP023 - COLSANITAS S.A. COMPAÑÍA DE MEDICINA PRE,2010,52 - Nariño,1,2,,129.480,3,2,129.480,
52000 - DIRECCION DEPARTAMENTAL DE SALUD DE NARI,2010,52 - Nariño,1,24,1.162.600,9.227.907,369,260,9.227.907,
RES002 - ECOPETROL,2010,54 - Norte de Santander,1,5,,1.041.075,22,18,977.325,
ESS133 - COMPARTA,2010,54 - Norte de Santander,1,8,134.030,703.720,64,29,93.579.891.400,1.260
ESS091 -  ECOOPSOS,2010,54 - Norte de Santander,1,5,188.085,228.110,44,11,228.110,15
ESS062 - ASMET SALUD,2010,54 - Norte de Santander,1,2,,123.300,6,3,123.300,
EPSS26 - SOLSALUD,2010,54 - Norte de Santander,1,4,590.305,,65,10,,
EPSS03 - CAFESALUD,2010,54 - Norte de Santander,1,3,,108.800,13,4,108.800,
EPS037 - NUEVA EPS,2010,54 - Norte de Santander,1,5,3.320.543,376.465,638,113,376.465,
EPS033 - SALUDVIDA,2010,54 - Norte de Santander,1,4,,281.140,32,10,281.140,
EPS026 - SOLSALUD,2010,54 - Norte de Santander,1,8,,807.596,43,41,816.796,9.200
EPS020 - CAPRECOM,2010,54 - Norte de Santander,1,2,,307.824,16,7,307.824,
EPS017 - FAMISANAR,2010,54 - Norte de Santander,1,3,190.136,3.600,22,4,11.600,8.000
EPS016 - COOMEVA,2010,54 - Norte de Santander,1,16,730.953,352.924,197,106,399.024,44.000
EPS013 - SALUDCOOP,2010,54 - Norte de Santander,1,29,11.195.103,3.668.524,980,239,3.908.024,239.500
EPS005 - SANITAS,2010,54 - Norte de Santander,1,2,7.570,111.700,7,3,111.700,
EPS003 - CAFESALUD,2010,54 - Norte de Santander,1,8,1.107.838,433.057,100,24,468.757,35.700
EPS002 - SALUD TOTAL,2010,54 - Norte de Santander,1,2,,102.715,8,5,102.715,
EMP002 - EMP CAFESALUD,2010,54 - Norte de Santander,1,4,420.816,32.550,6,3,71.950,39.400
CCF045 - FAMISALUD COMFANORTE A.R.S,2010,54 - Norte de Santander,1,7,24.100,509.277,23,16,509.277,
RES002 - ECOPETROL,2010,63 - Quindio,1,1,,54.998,1,1,54.998,
ESS062 - ASMET SALUD,2010,63 - Quindio,1,16,727.692,4.854.966,502,204,4.951.376,45.120
EPS037 - NUEVA EPS,2010,63 - Quindio,1,12,13.798.933,5.234.150,2.319,317,5.414.650,18.500
EPS033 - SALUDVIDA,2010,63 - Quindio,1,2,,41.000,9,5,41.000,
EPS020 - CAPRECOM,2010,63 - Quindio,1,20,2.210,5.096.700,386,76,5.103.000,37.410
EPS018 - SOS,2010,63 - Quindio,1,2,,69.290,4,3,73.490,4.200
EPS016 - COOMEVA,2010,63 - Quindio,1,19,703.923,1.750.454,161,108,1.776.954,26.500
EPS013 - SALUDCOOP,2010,63 - Quindio,1,13,18.674.558,4.775.475,1.368,249,5.304.375,528.900
EPS010 - EPS SURA,2010,63 - Quindio,1,8,1.963.358,1.272.314,142,17,1.259.311,127.400
EPS009 - COMFENALCO ANTIOQUIA,2010,63 - Quindio,1,2,,525.776,39,33,529.776,4.000
EPS005 - SANITAS,2010,63 - Quindio,1,4,1.156.370,3.633.840,243,72,3.633.840,
EPS003 - CAFESALUD,2010,63 - Quindio,1,9,8.266.176,2.097.258,661,102,2.414.158,316.900
EPS002 - SALUD TOTAL,2010,63 - Quindio,1,1,3.202,7.531,2,1,7.531,
EPS001 - ALIANSALUD,2010,63 - Quindio,1,1,,,3,1,,
EMP023 - COLSANITAS S.A. COMPAÑÍA DE MEDICINA PRE,2010,63 - Quindio,1,2,,879.900,25,18,879.900,
EMP002 - EMP CAFESALUD,2010,63 - Quindio,1,6,218.385,283.250,29,9,518.550,235.300
63130 - DIRECCION MUNICIPAL DE SALUD DE CALARCA,2010,63 - Quindio,1,1,,89.000,4,4,95.300,6.300
63001 - DIRECCION MUNICIPAL DE SALUD DE ARMENIA,2010,63 - Quindio,1,1,,2.469.800,35,12,2.607.200,137.400
63000 - DIRECCION DEPARTAMENTAL DE SALUD DE QUIN,2010,63 - Quindio,1,4,5.700,2.995.225,125,86,3.132.025,136.800
ESS062 - ASMET SALUD,2010,66 - Risaralda,1,39,323.372,28.291.438,1.252,466,28.384.038,
ESS024 - COOSALUD E.S.S.,2010,66 - Risaralda,1,1,,96.000,6,1,96.000,
EPS037 - NUEVA EPS,2010,66 - Risaralda,1,20,8.567.678,6.250.093,1.307,222,6.445.093,195.000
EPS020 - CAPRECOM,2010,66 - Risaralda,1,11,54.470,1.433.170,79,14,1.433.170,
EPS018 - SOS,2010,66 - Risaralda,1,2,,45.292,3,3,51.592,6.300
EPS017 - FAMISANAR,2010,66 - Risaralda,1,1,,15.387,1,1,15.387,
EPS016 - COOMEVA,2010,66 - Risaralda,1,23,524.899,911.672,374,196,962.672,103.040
EPS013 - SALUDCOOP,2010,66 - Risaralda,1,31,31.643.156,10.491.193,2.420,493,11.510.693,1.019.500
EPS010 - EPS SURA,2010,66 - Risaralda,1,16,4.562.938,2.023.552,240,44,2.014.554,320.400
EPS005 - SANITAS,2010,66 - Risaralda,1,2,,251.880,29,16,251.880,
EPS003 - CAFESALUD,2010,66 - Risaralda,1,12,17.040.781,3.758.101,1.182,177,4.321.801,563.700
EPS002 - SALUD TOTAL,2010,66 - Risaralda,1,8,735.149,2.832.338,259,142,2.832.338,
EPS001 - ALIANSALUD,2010,66 - Risaralda,1,6,,78.949,13,9,78.949,
EMP023 - COLSANITAS S.A. COMPAÑÍA DE MEDICINA PRE,2010,66 - Risaralda,1,8,502.100,596.680,18,12,596.680,
EMP017 - EMP COLMENA S.A,2010,66 - Risaralda,1,2,,,26,12,,
EMP002 - EMP CAFESALUD,2010,66 - Risaralda,1,13,4.821.623,1.230.350,362,64,2.158.650,928.300
05000 - DIRECCION SECCIONAL DE SALUD  DE ANTIOQU,2010,66 - Risaralda,1,1,10.100,,2,1,,
RES002 - ECOPETROL,2010,68 - Santander,1,29,3.513.243,6.453.390,215,89,6.474.390,21.000
ESS133 - COMPARTA,2010,68 - Santander,1,18,517.220,7.588.980,420,169,1.180.107.996.840,11.070
ESS062 - ASMET SALUD,2010,68 - Santander,1,6,,1.276.980,63,39,1.276.980,
ESS024 - COOSALUD E.S.S.,2010,68 - Santander,1,16,131.100,3.511.328,185,58,3.511.328,
ESS002 - EMDISALUD,2010,68 - Santander,1,3,,982.620,48,27,982.620,
EPSS26 - SOLSALUD,2010,68 - Santander,1,4,118.519,,39,8,,
EPS037 - NUEVA EPS,2010,68 - Santander,1,16,9.594.854,931.299,1.276,317,953.009,21.710
EPS033 - SALUDVIDA,2010,68 - Santander,1,7,,391.200,18,10,391.200,
EPS026 - SOLSALUD,2010,68 - Santander,1,55,,9.717.747,788,392,9.847.367,96.420
EPS020 - CAPRECOM,2010,68 - Santander,1,9,,1.085.383,53,26,1.085.383,
EPS017 - FAMISANAR,2010,68 - Santander,1,4,,302.214,18,13,316.714,14.500
EPS016 - COOMEVA,2010,68 - Santander,1,38,1.169.548,914.347,359,214,986.747,72.400
EPS013 - SALUDCOOP,2010,68 - Santander,1,33,42.502.941,7.865.700,2.199,549,8.898.300,1.032.600
EPS010 - EPS SURA,2010,68 - Santander,1,7,3.133.400,1.638.238,294,34,1.602.912,190.500
EPS009 - COMFENALCO ANTIOQUIA,2010,68 - Santander,1,1,74.936,,4,1,,
EPS005 - SANITAS,2010,68 - Santander,1,8,2.081.510,1.223.310,71,34,1.223.310,
EPS003 - CAFESALUD,2010,68 - Santander,1,8,11.204.243,1.674.887,377,94,1.905.687,230.800
EPS002 - SALUD TOTAL,2010,68 - Santander,1,16,282.900,9.078.890,316,151,9.083.090,4.200
EPS001 - ALIANSALUD,2010,68 - Santander,1,5,,42.783,23,6,42.783,
EMP023 - COLSANITAS S.A. COMPAÑÍA DE MEDICINA PRE,2010,68 - Santander,1,8,,1.969.660,47,22,1.969.660,
EMP017 - EMP COLMENA S.A,2010,68 - Santander,1,7,,,21,9,,
EMP015 - EMP MEDISANITAS S. A.,2010,68 - Santander,1,1,,118.290,4,2,118.290,
EMP002 - EMP CAFESALUD,2010,68 - Santander,1,2,207.521,50.700,27,4,95.700,45.000
CCF031 - CAJASAN,2010,68 - Santander,1,12,50.730,465.775,43,32,527.575,
68000 - DIRECCION DEPARTAMENTAL DE SALUD DE SANT,2010,68 - Santander,1,8,,1.995.910,84,40,2.054.870,58.960
13-9 - CENTRAL DE SEGUROS,2010,68 - Santander,1,1,,29.800,1,1,29.800,
05000 - DIRECCION SECCIONAL DE SALUD  DE ANTIOQU,2010,68 - Santander,1,1,,45.000,1,1,45.000,
RES002 - ECOPETROL,2010,70 - Sucre,1,4,,159.236,13,7,159.236,
ESS207 - MUTUAL SER,2010,70 - Sucre,1,19,291.714,3.555.959,191,91,3.555.959,
ESS184 - MANEXKA,2010,70 - Sucre,1,3,,105.955,6,6,105.955,
ESS133 - COMPARTA,2010,70 - Sucre,1,9,,1.363.200,63,44,203.323.210.890,1.890
ESS076 - AMBUQ,2010,70 - Sucre,1,2,,148.400,5,2,148.400,
ESS024 - COOSALUD E.S.S.,2010,70 - Sucre,1,2,,159.415,6,6,161.075,1.660
EPSI02 - MANEXKA,2010,70 - Sucre,1,6,,362.180,20,19,362.180,
EPS037 - NUEVA EPS,2010,70 - Sucre,1,5,2.340.105,1.012.422,251,50,1.012.422,
EPS033 - SALUDVIDA,2010,70 - Sucre,1,4,,102.772,6,5,106.972,4.200
EPS020 - CAPRECOM,2010,70 - Sucre,1,11,253.265,1.108.400,76,36,1.108.400,
EPS016 - COOMEVA,2010,70 - Sucre,1,6,,365.142,101,64,365.142,
EPS014 - HUMANA VIVIR,2010,70 - Sucre,1,3,,64.560,58,36,75.060,10.500
EPS013 - SALUDCOOP,2010,70 - Sucre,1,10,2.648.660,412.645,188,47,467.145,54.500
EPS002 - SALUD TOTAL,2010,70 - Sucre,1,5,32.052,469.044,37,16,469.044,
EMP017 - EMP COLMENA S.A,2010,70 - Sucre,1,1,,,1,1,,
EMP002 - EMP CAFESALUD,2010,70 - Sucre,1,1,,21.100,1,1,39.600,18.500
RES002 - ECOPETROL,2010,73 - Tolima,1,5,,287.403,10,6,353.403,
ESS091 -  ECOOPSOS,2010,73 - Tolima,1,6,,1.284.589,64,37,1.284.589,
ESS062 - ASMET SALUD,2010,73 - Tolima,1,14,,1.112.140,56,31,1.112.140,
EPSS14 - HUMANA VIVIR,2010,73 - Tolima,1,1,,20.600,1,1,20.600,
EPS037 - NUEVA EPS,2010,73 - Tolima,1,25,2.574.582,1.634.169,362,128,1.652.869,18.700
EPS033 - SALUDVIDA,2010,73 - Tolima,1,4,,207.704,12,8,185.632,
EPS028 - CALISALUD,2010,73 - Tolima,1,2,,151.032,3,3,151.032,6.700
EPS026 - SOLSALUD,2010,73 - Tolima,1,6,,373.960,18,15,373.960,
EPS020 - CAPRECOM,2010,73 - Tolima,1,60,88.700,11.291.338,573,119,11.410.188,136.760
EPS017 - FAMISANAR,2010,73 - Tolima,1,18,1.331.271,812.167,91,38,850.967,38.800
EPS016 - COOMEVA,2010,73 - Tolima,1,10,11.016,155.939,87,61,193.339,37.400
EPS014 - HUMANA VIVIR,2010,73 - Tolima,1,4,,20.600,13,9,20.600,
EPS013 - SALUDCOOP,2010,73 - Tolima,1,24,39.612.813,7.264.209,2.115,375,7.900.609,636.400
EPS005 - SANITAS,2010,73 - Tolima,1,4,1.440.464,193.402,17,9,201.802,8.400
EPS003 - CAFESALUD,2010,73 - Tolima,1,17,8.199.316,2.892.363,852,139,3.352.463,460.100
EPS002 - SALUD TOTAL,2010,73 - Tolima,1,12,68.054,7.103.472,465,191,7.185.172,81.700
EMP023 - COLSANITAS S.A. COMPAÑÍA DE MEDICINA PRE,2010,73 - Tolima,1,3,,197.390,5,3,197.390,
EMP017 - EMP COLMENA S.A,2010,73 - Tolima,1,5,,84.800,15,7,84.800,
EMP002 - EMP CAFESALUD,2010,73 - Tolima,1,5,97.110,390.600,29,9,733.400,342.800
CCF101 - COLSUBSIDIO,2010,73 - Tolima,1,1,,,1,1,,
CCF037 - COMFENALCO,2010,73 - Tolima,1,16,,735.015,37,32,741.400,6.385
73000 - DIRECCION DEPARTAMENTAL DE SALUD DE TOLI,2010,73 - Tolima,1,17,496.160,7.956.676,311,85,7.993.944,37.268
41001 - DIRECCION LOCAL DE SALUD  DE NEIVA - HUI,2010,73 - Tolima,1,1,,27.522,2,2,27.522,
RES007 - UVALLE,2010,76 - Valle del Cauca,1,4,852.000,850.901,53,32,850.901,
RES002 - ECOPETROL,2010,76 - Valle del Cauca,1,5,52.000,1.874.885,41,16,1.874.885,
MIN001 - FONDO DE SOLIDARIDAD Y GARANTIA,2010,76 - Valle del Cauca,1,1,,29.700,1,1,29.700,
ESS118 - EMSSANAR E.S.S.,2010,76 - Valle del Cauca,1,38,24.021.235,18.230.407,674,327,9.897.841,151.243
ESS076 - AMBUQ,2010,76 - Valle del Cauca,1,2,97.856,20.000,2,2,20.000,
ESS062 - ASMET SALUD,2010,76 - Valle del Cauca,1,4,,113.940,6,5,129.800,
ESS024 - COOSALUD E.S.S.,2010,76 - Valle del Cauca,1,11,,4.752.438,310,88,4.814.038,55.300
EPSI03 -  AIC-EPSI-I,2010,76 - Valle del Cauca,1,1,,61.800,3,3,61.800,
EPS037 - NUEVA EPS,2010,76 - Valle del Cauca,1,50,82.092.733,328.312.006,4.559,760,350.271.912,87.200
EPS034 - SALUDCOLOMBIA,2010,76 - Valle del Cauca,1,6,,541.292,69,22,573.292,32.000
EPS030 - CONDOR,2010,76 - Valle del Cauca,1,9,132.000,2.067.250,113,47,2.087.010,9.260
EPS028 - CALISALUD,2010,76 - Valle del Cauca,1,11,75.077,1.439.238,87,68,1.459.001,18.800
EPS023 - CRUZ BLANCA,2010,76 - Valle del Cauca,1,10,9.416.760,2.865.494,667,166,3.256.794,391.300
EPS020 - CAPRECOM,2010,76 - Valle del Cauca,1,55,240.250,11.226.979,522,141,11.252.923,100.200
EPS018 - SOS,2010,76 - Valle del Cauca,1,16,,1.104.239,44,39,1.154.739,106.000
EPS017 - FAMISANAR,2010,76 - Valle del Cauca,1,7,198.309,119.893,20,4,119.893,
EPS016 - COOMEVA,2010,76 - Valle del Cauca,1,93,456.434,7.603.206,1.677,739,7.701.290,135.650
EPS013 - SALUDCOOP,2010,76 - Valle del Cauca,1,39,23.108.782,7.391.205,1.966,489,8.270.505,879.300
EPS010 - EPS SURA,2010,76 - Valle del Cauca,1,38,23.863.819,12.329.266,1.620,216,11.931.176,1.318.300
EPS005 - SANITAS,2010,76 - Valle del Cauca,1,10,339.830,3.057.689,124,49,3.057.689,
EPS003 - CAFESALUD,2010,76 - Valle del Cauca,1,16,5.299.888,1.277.439,365,71,1.521.739,244.300
EPS002 - SALUD TOTAL,2010,76 - Valle del Cauca,1,12,,2.945.117,261,162,2.953.517,8.400
EPS001 - ALIANSALUD,2010,76 - Valle del Cauca,1,8,,,56,13,,
EMP023 - COLSANITAS S.A. COMPAÑÍA DE MEDICINA PRE,2010,76 - Valle del Cauca,1,15,952.400,4.488.820,103,47,4.488.820,
EMP021 - EMP SUSALUD SA,2010,76 - Valle del Cauca,1,1,,175.400,3,3,175.400,
EMP017 - EMP COLMENA S.A,2010,76 - Valle del Cauca,1,3,,,52,33,,
EMP015 - EMP MEDISANITAS S. A.,2010,76 - Valle del Cauca,1,4,,542.550,14,10,542.550,
EMP002 - EMP CAFESALUD,2010,76 - Valle del Cauca,1,14,4.905.062,551.999,204,22,821.699,269.700
76001 - DIRECCION MUNICIPAL DE SALUD DE CALI,2010,76 - Valle del Cauca,1,1,,41.200,2,2,41.200,
76000 - DIRECCION DEPARTAMENTAL DE SALUD DE VALL,2010,76 - Valle del Cauca,1,2,,70.900,3,3,71.900,1.000
19000 - DIRECCION DEPARTAMENTAL DE SALUD DE CAUC,2010,76 - Valle del Cauca,1,1,,26.700,1,1,26.700,
ESS133 - COMPARTA,2010,81 - Arauca,1,11,101.100,1.740.426,88,52,231.190.137.456,2.250
EPS037 - NUEVA EPS,2010,81 - Arauca,1,1,,,7,5,,
EPS033 - SALUDVIDA,2010,81 - Arauca,1,1,,116.500,3,2,116.500,
EPS026 - SOLSALUD,2010,81 - Arauca,1,1,,206.400,8,5,206.400,
EPS020 - CAPRECOM,2010,81 - Arauca,1,1,,598.400,24,8,598.400,
EPS013 - SALUDCOOP,2010,81 - Arauca,1,5,1.020.470,212.870,73,20,274.570,61.700
ESS002 - EMDISALUD,2010,85 - Casanare,1,2,,148.755,9,5,148.755,
EPS037 - NUEVA EPS,2010,85 - Casanare,1,2,,75.155,4,4,75.155,
EPS020 - CAPRECOM,2010,85 - Casanare,1,1,,49.600,4,2,49.600,
EPS016 - COOMEVA,2010,85 - Casanare,1,4,,109.342,10,9,111.442,2.100
EPS014 - HUMANA VIVIR,2010,85 - Casanare,1,1,,35.000,2,2,35.000,
EPS013 - SALUDCOOP,2010,85 - Casanare,1,13,3.434.910,604.094,202,54,694.494,90.400
EPS005 - SANITAS,2010,85 - Casanare,1,1,,53.400,2,1,53.400,
EMP023 - COLSANITAS S.A. COMPAÑÍA DE MEDICINA PRE,2010,85 - Casanare,1,1,,205.340,7,4,205.340,
RES002 - ECOPETROL,2010,86 - Putumayo,1,1,,120.000,2,2,120.000,
ESS118 - EMSSANAR E.S.S.,2010,86 - Putumayo,1,12,,4.080.225,133,73,3.174.273,
EPSI03 -  AIC-EPSI-I,2010,86 - Putumayo,1,3,,1.093.600,43,37,1.093.600,
EPS037 - NUEVA EPS,2010,86 - Putumayo,1,6,,258.100,9,6,262.300,4.200
EPS030 - CONDOR,2010,86 - Putumayo,1,1,,154.200,6,3,154.200,
EPS020 - CAPRECOM,2010,86 - Putumayo,1,15,,2.150.200,85,31,2.150.200,
EPS016 - COOMEVA,2010,86 - Putumayo,1,5,,126.600,12,8,128.700,2.100
EPS013 - SALUDCOOP,2010,86 - Putumayo,1,16,9.578.096,478.460,242,55,516.260,37.800
41000 - DIRECCION DEPARTAMENTAL DE SALUD DE HUIL,2010,86 - Putumayo,1,1,,28.215,1,1,29.700,1.485
EPS037 - NUEVA EPS,2010,"88 - Archipiélago de San Andrés, Providencia y Santa Catalina",1,1,,39.236,3,1,45.536,6.300
EPS020 - CAPRECOM,2010,"88 - Archipiélago de San Andrés, Providencia y Santa Catalina",1,2,,96.800,6,3,96.800,
EPS014 - HUMANA VIVIR,2010,"88 - Archipiélago de San Andrés, Providencia y Santa Catalina",1,1,,,11,7,,
EMP023 - COLSANITAS S.A. COMPAÑÍA DE MEDICINA PRE,2010,"88 - Archipiélago de San Andrés, Providencia y Santa Catalina",1,1,,67.400,2,1,67.400,
EPS037 - NUEVA EPS,2010,91 - Amazonas,1,1,,23.700,1,1,25.800,2.100
EPS020 - CAPRECOM,2010,91 - Amazonas,1,1,,237.950,10,3,237.950,
EPS013 - SALUDCOOP,2010,91 - Amazonas,1,3,1.124.150,273.695,99,19,312.795,39.100
EPS005 - SANITAS,2010,91 - Amazonas,1,1,,,4,3,,6.300
ESS091 -  ECOOPSOS,2010,94 - Guainía,1,1,,51.600,2,2,51.600,
EPS020 - CAPRECOM,2010,94 - Guainía,1,1,,258.000,10,5,258.000,
ESS091 -  ECOOPSOS,2010,95 - Guaviare,1,3,,423.600,206,37,423.600,
EPS020 - CAPRECOM,2010,95 - Guaviare,1,4,,1.002.800,45,19,1.002.800,
